estimated_x,estimated_y,estimated_z,Status
143.009.521,132.412.094,157.999.252,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,158.144.928,None
143.572.464,131.544.739,161.272.842,None
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
208.636.459,133.122.757,161.272.919,GPIO_Pin_12
143.508.942,132.428.970,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
143.508.881,132.428.864,158.017.776,None
