estimated_x,estimated_y,estimated_z,GPIO_Pin_12,GPIO_Pin_13,GPIO_Pin_14,GPIO_Pin_15
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
143.572.464,131.544.739,158.144.928,OFF,OFF,OFF,ON
